高清央视,#genre#
湖南卫视12[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1026
湖南金鹰纪实[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031203/1.m3u8?channel-id=bestzb&Contentid=5000000011000031203&livemode=1&stbId=3
浙江卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw1197826796_-265147758/ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8?icpid=3&RTS=1669699798&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
浙江卫视02[25P8M],http://221.7.175.154:8445/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视03[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1023
浙江卫视04[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
江苏卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2983110475_-1591539074/ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8?icpid=3&RTS=1668597777&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
江苏卫视02[25P12M],http://221.7.175.154:8445/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视03[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227552/index.m3u8
江苏卫视04[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8
江苏卫视05[25P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/jswshd8m/8000000/mnf.m3u8
江苏卫视06[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000019351/1.m3u8?channel-id=bestzb&Contentid=5000000004000019351&livemode=1&stbId=3
江苏卫视07[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1033
江西卫视01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1965546073_-1364170119/ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8?icpid=3&RTS=1669700566&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
江西卫视[25P8M]02,http://221.7.175.154:8445/tsfile/live/0010_1.m3u8?key=txiptv
江西卫视[25P8M]03,http://zteres.sn.chinamobile.com:6060/000000001000/1000000006000268001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268001&livemode=1&stbId=3
江西卫视[25P8M]04,http://www.biaozhun114.com/tvbox/iptv9.php?1034
河北卫视01[25P12M],http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视02[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw1698524218_988816054/ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8?
河北卫视03[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000006000040016/1.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=3
河北卫视04[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1229
河南卫视01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1784575403_-1712002709/ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8?icpid=3&RTS=1669700385&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
河南卫视02[25P8M],http://221.7.175.154:8445/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视03[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031119/1.m3u8?channel-id=bestzb&Contentid=5000000011000031119&livemode=1&stbId=3
河南卫视04[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1222
深圳卫视[25P12M]01,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3025923625_628894334/ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8?icpid=3&RTS=1668597820&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
深圳卫视[50P8M]02,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000002116/1.m3u8?channel-id=wasusyt&Contentid=6000000001000002116&livemode=1&stbId=3
深圳卫视[50P8M]03,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
深圳卫视[25P12M]04,http://ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8
深圳卫视[25P8M]05,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/szwshd8m/8000000/mnf.m3u8
深圳卫视[25P8M]06,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视[25P8M]07,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
深圳卫视[25P8M]08,http://www.biaozhun114.com/tvbox/iptv9.php?1030
湖北卫视[25P12M]01,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3059146177_-1525708880/ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8?icpid=3&RTS=1668597853&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
湖北卫视[25P12M]02,http://221.7.175.154:8445/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视[50P8M]03,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000015436/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015436&livemode=1&stbId=3
湖北卫视[25P8M]04,http://www.biaozhun114.com/tvbox/iptv9.php?1027
湖北卫视[25P4M]05,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8
四川卫视[50P8M],http://222.217.246.54:8282/tsfile/live/1048_1.m3u8
四川卫视01[25P4M],http://[2409:8087:2001:20:2800:0:df6e:eb09]/wh7f454c46tw2502717081_11504314/ott.mobaibox.com/PLTV/3/224/3221227556/index.m3u8?icpid=3&RTS=1669701103&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
四川卫视02[25P12M],http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视03[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1130
天津卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw2730715388_788631706/ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8?icpid=3&RTS=1668597525&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
天津卫视[25P12M]02,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视[25P12M]03,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8
天津卫视[25P8M]04,http://www.biaozhun114.com/tvbox/iptv9.php?1036
安徽卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2802330256_375747539/ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8?icpid=3&RTS=1668597596&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
安徽卫视02[25P12M],http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视03[25P12M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/1.m3u8
安徽卫视04[25P8M],http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/ahwshd8m/8000000/mnf.m3u8
安徽卫视05[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1037
山东卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw2848465480_1677095697/ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8?icpid=3&RTS=1668597642&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
山东卫视02[25P12M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
山东卫视03[25P12M],http://ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8
山东卫视04[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1028
广东卫视01[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw2917484419_-1632335828/ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8?icpid=3&RTS=1668597711&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
广东卫视02[50P8M],http://222.217.246.54:8282/tsfile/live/1031_1.m3u8
广东卫视02[25P8M],https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广东卫视03[25P8M],http://221.7.175.154:8445/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视04[25P8M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
广东卫视05[25P8M],http://221.7.175.154:8445/tsfile/live/0125_1.m3u8
广东卫视06[25P8M],http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000031076/1.m3u8?channel-id=wasusyt&Contentid=6000000001000031076&livemode=1&stbId=3
广东卫视07[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1032
广东公共[50P2M],http://218.17.143.73:9901/tsfile/live/1002_1.m3u8?key=txiptv&url=tvzb.com
广东公共[50P8M],http://222.217.246.54:8282/tsfile/live/1007_1.m3u8
广东新闻[50P2M],http://218.17.143.73:9901/tsfile/live/1001_1.m3u8?key=txiptv&url=tvzb.com
广东新闻[50P8M],http://222.217.246.54:8282/tsfile/live/1004_1.m3u8
广东珠江[50P8M],http://222.217.246.54:8282/tsfile/live/1000_1.m3u8
广东影视[50P8M],http://222.217.246.54:8282/tsfile/live/1008_1.m3u8
南方卫视[50P8M],http://222.217.246.54:8282/tsfile/live/1002_1.m3u8
广东体育[50P8M]01,http://222.217.246.54:8282/tsfile/live/1001_1.m3u8
